scientificName,,Genus,Species,
Acer rubrum,,Acer,campestre,
Quercus robur,,Acer,platanoides,
Fagus grandifolia,,Acer,platanoides,
Morus rubra,,Acer,pseudoplatanus,
Fraxinus excelsior,,Acer,rubrum,
Ulmus americana,,Acer,rubrum,
Carpinus betulus,,Acer,saccharum,
Quercus rubra,,Aesculus,hippocastanum,
Ilex opaca,,Amelanchier,canadensis,
Magnolia x soulangiana,,Carpinus,betulus,
Larix decidua,,Carpinus,caroliniana,
Carpinus caroliniana,,Carya,ovata,
Quercus acutissima,,Cedrus,atlantica,
Tilia x europaea,,Cedrus,libani,
Larix laricina,,Celtis,occidentalis,
Quercus coccinea,,Cercis,canadensis,
Quercus cerris,,Chionanthus,retusus,
Tilia americana,,Circidiphyllum,japonicum,
Acer platanoides,,Cladastris,kentuckea,
Ginkgo biloba,,Cornus,kousa,
Platanus occidentalis,,Cornus,mas,
Pinus sylvestris,,Corylus,colurna,
Fraxinus pennsylvanica,,Crataefus,hawthorn,
Cladastris kentuckea,,Crataegus,,
Amelanchier canadensis,,Eucommia,ulmoides,
Eucommia ulmoides,,Fagus,grandifolia,
Phellodendron amurense,,Fagus,sylvatica,
Carya ovata,,Fraxinus,americana,
Crataegus,,Fraxinus,excelsior,
Cedrus atlantica,,Fraxinus,pennsylvanica,
Crataefus hawthorn,,Ginkgo,biloba,
Oxydendron arboreum,,Gleditsia,triacanthos,
Acer campestre,,Ilex,opaca,
Pinus nigra,,Juglans,nigra,
Magnolia grandiflora,,Lagerstroemia,indica,
Pinus wallichiana,,Larix,decidua,
Prunus serotina,,Larix,laricina,
Magnolia stellata,,Liquidambar,styraciflua,
Gleditsia triacanthos,,Liriodendron,tulipifera,
Robinia pseudoacacia,,Maclura,pomifera,
Liquidambar styraciflua,,Magnolia,grandiflora,
Aesculus hippocastanum,,Magnolia,stellata,soulangiana
Quercus velutina,,Magnolia,x,
Acer pseudoplatanus,,Malus,floribunda,
Stewartia pseudocamellia,,Metasequoia,glyptostroboides,
Nyssa sylvatica,,Morus,alba,
Liriodendron tulipifera,,Morus,rubra,
Syringa reticulata ,,Nyssa,sylvatica,
Juglans nigra,,Oxydendron,arboreum,
Corylus colurna,,Parrotia,persica,
Zelkova serrata,,Phellodendron,amurense,
Cedrus libani,,Picea,abies,
Prunus subhirtella,,Picea,pungens,
Circidiphyllum japonicum,,Pinus,flexilis,
Chionanthus retusus,,Pinus,nigra,
Fraxinus americana,,Pinus,strobus,
Cornus kousa,,Pinus,sylvestris,
Picea pungens,,Pinus,wallichiana,
Morus alba,,Platanus,occidentalis,
Pinus flexilis,,Prunus,serotina,
Taxodium distichum,,Prunus,serrulata,
Quercus phellos,,Prunus,subhirtella,
Celtis occidentalis,,Quercus,acutissima,
Acer platanoides,,Quercus,cerris,
Cornus mas,,Quercus,coccinea,
Ulmus glabra,,Quercus,palustris,
Quercus rubra,,Quercus,phellos,
Picea abies,,Quercus,robur,
Malus floribunda,,Quercus,rubra,
Ulmus procera,,Quercus,rubra,
Fagus sylvatica,,Quercus,velutina,
Maclura pomifera,,Robinia,pseudoacacia,
Lagerstroemia indica,,Stewartia,pseudocamellia,
Prunus serrulata,,Syringa,reticulata ,
Parrotia persica,,Taxodium,distichum,
Metasequoia glyptostroboides,,Tilia,americana,europaea
Acer saccharum,,Tilia,x,
Quercus palustris,,Ulmus,americana,
Cercis canadensis,,Ulmus,glabra,
Acer rubrum,,Ulmus,procera,
Pinus strobus,,Zelkova,serrata,